Formula,Variance,Delta,Alpha,Power,User_n,Statsmodels_n,Difference,Rel_difference
Two Means (A/B),85.73871604504397,0.9480166710046624,0.09999999999999998,0.95,2065,2066.0,1.0,0.000484027105517909
Two Means (A/B),136.3402961234343,3.3013784649436557,0.010000000000000009,0.85,327,329.0,2.0,0.0060790273556231
Two Means (A/B),209.7483376243718,0.7872960431863244,0.09999999999999998,0.95,7325,7325.0,0.0,0.0
Two Means (A/B),80.4256536164967,8.02352942744138,0.010000000000000009,0.95,45,47.0,2.0,0.0425531914893617
Two Means (A/B),293.00536157202976,8.812782966858437,0.050000000000000044,0.9,80,81.0,1.0,0.012345679012345678
Two Means (A/B),289.8310039481009,3.3109041558422185,0.010000000000000009,0.85,690,692.0,2.0,0.002890173410404624
Two Means (A/B),351.26912983918555,9.94197967608956,0.050000000000000044,0.85,64,65.0,1.0,0.015384615384615385
Two Means (A/B),301.0025378165112,7.3334400513685365,0.050000000000000044,0.95,146,147.0,1.0,0.006802721088435374
Two Means (A/B),77.06405417035334,5.666738477191307,0.09999999999999998,0.8,30,31.0,1.0,0.03225806451612903
Two Means (A/B),335.7320205159649,7.572894417414393,0.010000000000000009,0.95,209,211.0,2.0,0.009478672985781991
Two Means (A/B),234.26503385234176,4.284622222622277,0.010000000000000009,0.95,455,457.0,2.0,0.00437636761487965
Two Means (A/B),50.55650589173425,3.078445772697225,0.010000000000000009,0.95,191,192.0,1.0,0.005208333333333333
Two Means (A/B),222.1368261098037,1.286307119974699,0.010000000000000009,0.95,4784,4785.0,1.0,0.0002089864158829676
Two Means (A/B),59.01186016662101,7.398084227571707,0.09999999999999998,0.8,14,15.0,1.0,0.06666666666666667
Two Means (A/B),352.2012996258668,1.0199985293559604,0.050000000000000044,0.85,6079,6080.0,1.0,0.0001644736842105263
Two Means (A/B),404.55589473151923,8.660393301132048,0.09999999999999998,0.95,117,118.0,1.0,0.00847457627118644
Two Means (A/B),278.0772943192172,1.6771098041279051,0.09999999999999998,0.85,1422,1423.0,1.0,0.0007027406886858749
Two Means (A/B),102.94206281310139,2.350837270951378,0.09999999999999998,0.85,268,269.0,1.0,0.0037174721189591076
Two Means (A/B),221.40928647994426,3.528585509031135,0.09999999999999998,0.8,220,221.0,1.0,0.004524886877828055
Two Means (A/B),279.3759110382642,8.270332471505679,0.050000000000000044,0.9,86,87.0,1.0,0.011494252873563218
Two Means (A/B),474.0741585960049,8.746032951066093,0.050000000000000044,0.9,131,132.0,1.0,0.007575757575757576
Two Means (A/B),403.8241805406925,5.78841508494589,0.09999999999999998,0.95,261,262.0,1.0,0.003816793893129771
Two Means (A/B),143.8297314608011,9.312892624974772,0.050000000000000044,0.85,30,31.0,1.0,0.03225806451612903
Two Means (A/B),417.85236882103624,3.868170605418143,0.050000000000000044,0.85,502,503.0,1.0,0.0019880715705765406
Two Means (A/B),374.63993029792925,1.4986526878275075,0.010000000000000009,0.95,5944,5945.0,1.0,0.0001682085786375105
Two Means (A/B),418.43075183342154,3.2930269806795103,0.010000000000000009,0.85,1007,1009.0,2.0,0.0019821605550049554
Two Means (A/B),119.20601735061399,2.3137829015134814,0.050000000000000044,0.95,579,580.0,1.0,0.0017241379310344827
Two Means (A/B),307.8686430188822,9.334034330714923,0.050000000000000044,0.8,56,57.0,1.0,0.017543859649122806
Two Means (A/B),265.7094980620333,3.205904142821551,0.010000000000000009,0.85,675,677.0,2.0,0.0029542097488921715
Two Means (A/B),112.63911107788843,8.99279011019779,0.050000000000000044,0.8,22,23.0,1.0,0.043478260869565216
Two Means (A/B),192.88915154453167,9.532695523252814,0.050000000000000044,0.8,34,35.0,1.0,0.02857142857142857
Two Means (A/B),349.8380986257679,1.3054429201402205,0.09999999999999998,0.85,2952,2953.0,1.0,0.0003386386725364037
Two Means (A/B),277.7483996810379,2.402258447817263,0.09999999999999998,0.95,1042,1043.0,1.0,0.0009587727708533077
Two Means (A/B),399.5256337122617,1.3081470160315107,0.09999999999999998,0.9,3999,4000.0,1.0,0.00025
Two Means (A/B),277.76383827810986,4.451165717465811,0.010000000000000009,0.85,366,368.0,2.0,0.005434782608695652
Two Means (A/B),50.149627754220234,0.2751093151712465,0.050000000000000044,0.95,17221,17222.0,1.0,5.806526535826269e-05
Two Means (A/B),214.15919861503826,3.9259623274755566,0.09999999999999998,0.9,238,239.0,1.0,0.0041841004184100415
Two Means (A/B),136.30210501633726,2.1963779715882357,0.050000000000000044,0.9,594,595.0,1.0,0.0016806722689075631
Two Means (A/B),389.41409495473835,6.233027738935118,0.010000000000000009,0.8,235,236.0,1.0,0.00423728813559322
Two Means (A/B),243.65172987901454,1.7895811096449843,0.09999999999999998,0.8,941,942.0,1.0,0.0010615711252653928
Two Means (A/B),402.2132183348672,2.7273353509631266,0.010000000000000009,0.95,1927,1929.0,2.0,0.0010368066355624676
Two Means (A/B),361.2281250061937,6.218711575443142,0.010000000000000009,0.95,333,335.0,2.0,0.005970149253731343
Two Means (A/B),416.2866212777085,6.190672438487008,0.09999999999999998,0.95,236,236.0,0.0,0.0
Two Means (A/B),345.07565265274536,8.495357263969074,0.050000000000000044,0.9,101,102.0,1.0,0.00980392156862745
Two Means (A/B),406.44213519224445,4.107504447943478,0.09999999999999998,0.9,413,414.0,1.0,0.0024154589371980675
Two Means (A/B),215.49170789478032,4.199884550036378,0.050000000000000044,0.9,257,258.0,1.0,0.003875968992248062
Two Means (A/B),380.1264712526309,7.716118447049264,0.050000000000000044,0.9,135,136.0,1.0,0.007352941176470588
Two Means (A/B),237.2692991808927,4.865307101189704,0.050000000000000044,0.85,180,181.0,1.0,0.0055248618784530384
Two Means (A/B),166.9159439352654,7.626869248909137,0.050000000000000044,0.95,75,76.0,1.0,0.013157894736842105
Two Means (A/B),290.88955915366626,2.2304985329706515,0.09999999999999998,0.85,841,842.0,1.0,0.0011876484560570072
Two Means (A/B),158.54065591979366,9.761150173609533,0.050000000000000044,0.8,27,28.0,1.0,0.03571428571428571
Two Means (A/B),481.80948994446504,4.929755034870988,0.010000000000000009,0.8,464,465.0,1.0,0.002150537634408602
Two Means (A/B),296.58177003816184,4.598335612143613,0.010000000000000009,0.8,328,330.0,2.0,0.006060606060606061
Two Means (A/B),269.7085116598002,1.5854817804704442,0.050000000000000044,0.95,2789,2790.0,1.0,0.00035842293906810036
Two Means (A/B),414.8086675938198,6.179404980728887,0.09999999999999998,0.85,157,157.0,0.0,0.0
Two Means (A/B),226.57717468781354,9.566599687424588,0.09999999999999998,0.8,31,32.0,1.0,0.03125
Two Means (A/B),95.96728834589214,6.621052247453691,0.09999999999999998,0.8,28,28.0,0.0,0.0
Two Means (A/B),413.99755773634763,0.8565269084367092,0.09999999999999998,0.85,8114,8115.0,1.0,0.00012322858903265557
Two Means (A/B),468.64349817702066,2.605278484727767,0.09999999999999998,0.95,1495,1496.0,1.0,0.0006684491978609625
Two Means (A/B),336.74066456372617,6.627603829837249,0.010000000000000009,0.85,201,202.0,1.0,0.0049504950495049506
Two Means (A/B),336.5013569752433,6.177942489124612,0.010000000000000009,0.95,315,316.0,1.0,0.0031645569620253164
Two Means (A/B),447.1067482052449,1.1463654510721135,0.09999999999999998,0.9,5828,5828.0,0.0,0.0
Two Means (A/B),356.102500643759,0.5125617159636042,0.09999999999999998,0.9,23216,23217.0,1.0,4.307188697936857e-05
Two Means (A/B),372.345524628207,0.8136349263868663,0.010000000000000009,0.95,20040,20041.0,1.0,4.9897709695124994e-05
Two Means (A/B),66.00689016599675,5.134934965531027,0.050000000000000044,0.9,53,54.0,1.0,0.018518518518518517
Two Means (A/B),183.44101157944485,3.562061974483911,0.010000000000000009,0.9,431,432.0,1.0,0.0023148148148148147
Two Means (A/B),347.6167749816865,1.9334361218879326,0.010000000000000009,0.85,2427,2429.0,2.0,0.0008233841086867024
Two Means (A/B),94.27804237102879,6.636996925043248,0.050000000000000044,0.85,39,40.0,1.0,0.025
Two Means (A/B),87.17794855667091,5.195110107077765,0.09999999999999998,0.9,56,57.0,1.0,0.017543859649122806
Two Means (A/B),402.1182160537721,2.355639933676789,0.09999999999999998,0.85,1042,1043.0,1.0,0.0009587727708533077
Two Means (A/B),350.3076791208928,0.20323422403429037,0.050000000000000044,0.95,220421,220422.0,1.0,4.5367522298137206e-06
Two Means (A/B),398.58520128700457,6.474652110057194,0.050000000000000044,0.9,200,201.0,1.0,0.004975124378109453
Two Means (A/B),68.87805054423632,9.6880388981844,0.09999999999999998,0.95,16,17.0,1.0,0.058823529411764705
Two Means (A/B),181.76991651543412,9.801706260652622,0.050000000000000044,0.8,30,31.0,1.0,0.03225806451612903
Two Means (A/B),312.0901961932609,7.5059244763523685,0.050000000000000044,0.9,117,118.0,1.0,0.00847457627118644
Two Means (A/B),69.68103164598627,1.1969988255800899,0.050000000000000044,0.9,1023,1023.0,0.0,0.0
Two Means (A/B),92.75526454653709,3.8223296104189832,0.050000000000000044,0.95,165,166.0,1.0,0.006024096385542169
Two Means (A/B),224.89375938343116,1.7204696345064847,0.050000000000000044,0.95,1975,1976.0,1.0,0.0005060728744939271
Two Means (A/B),104.67561933541313,2.0549578496133796,0.050000000000000044,0.8,390,391.0,1.0,0.0025575447570332483
Two Means (A/B),340.6148656948427,2.9304772134676855,0.050000000000000044,0.9,834,835.0,1.0,0.0011976047904191617
Two Means (A/B),445.6708969990272,2.658473040888999,0.010000000000000009,0.85,1646,1648.0,2.0,0.0012135922330097086
Two Means (A/B),336.2318436784213,2.2885273773919117,0.050000000000000044,0.95,1669,1670.0,1.0,0.0005988023952095808
Two Means (A/B),386.6863576905489,5.622350932559592,0.010000000000000009,0.95,436,438.0,2.0,0.0045662100456621
Two Means (A/B),74.23619314911176,3.2685923419577363,0.050000000000000044,0.9,147,147.0,0.0,0.0
Two Means (A/B),171.19908423591127,5.441606582905501,0.09999999999999998,0.85,84,84.0,0.0,0.0
Two Means (A/B),98.57467159090896,6.884450359547147,0.010000000000000009,0.85,55,56.0,1.0,0.017857142857142856
Two Means (A/B),146.08011483980235,5.107941660223108,0.09999999999999998,0.85,81,82.0,1.0,0.012195121951219513
Two Means (A/B),294.00674247133173,5.944442135541852,0.010000000000000009,0.9,248,250.0,2.0,0.008
Two Means (A/B),97.66882065132182,1.6005367787179685,0.050000000000000044,0.9,802,803.0,1.0,0.0012453300124533001
Two Means (A/B),309.7277524793975,8.783670570962899,0.09999999999999998,0.9,69,70.0,1.0,0.014285714285714285
Two Means (A/B),122.3816782809858,5.624619018974774,0.09999999999999998,0.95,84,85.0,1.0,0.011764705882352941
Two Means (A/B),376.9077718008522,9.918918518358698,0.010000000000000009,0.95,137,139.0,2.0,0.014388489208633094
Two Means (A/B),445.9174186738724,6.6098470965024285,0.09999999999999998,0.85,147,148.0,1.0,0.006756756756756757
Two Means (A/B),384.05662275762916,8.169672006355642,0.010000000000000009,0.9,172,173.0,1.0,0.005780346820809248
Two Means (A/B),359.5478494459618,3.8150730539823967,0.09999999999999998,0.95,535,536.0,1.0,0.0018656716417910447
Two Means (A/B),285.871626826773,8.495673132194643,0.050000000000000044,0.85,72,73.0,1.0,0.0136986301369863
Two Means (A/B),424.7062112061694,0.20921298119841136,0.09999999999999998,0.85,139518,139515.0,3.0,2.1502601814819592e-05
Two Means (A/B),391.4043755499522,6.815950346265905,0.010000000000000009,0.9,251,253.0,2.0,0.007905138339920948
Two Means (A/B),187.52189697059669,8.778842542099186,0.09999999999999998,0.85,35,36.0,1.0,0.027777777777777776
Two Means (A/B),215.73928872808176,4.5412452464499715,0.050000000000000044,0.95,272,273.0,1.0,0.003663003663003663
Two Means (A/B),147.74409396104474,1.4644467016764304,0.050000000000000044,0.8,1082,1083.0,1.0,0.0009233610341643582
Two Means (A/B),50.84594758620979,1.8658885846425655,0.050000000000000044,0.85,263,264.0,1.0,0.003787878787878788
Two Means (A/B),125.09830303469191,1.895060871262502,0.09999999999999998,0.95,754,755.0,1.0,0.0013245033112582781
Two Means (A/B),231.04720610895018,8.755198459041354,0.09999999999999998,0.85,44,45.0,1.0,0.022222222222222223
Two Means (A/B),375.53214452552885,1.1309598434108457,0.050000000000000044,0.9,6170,6171.0,1.0,0.00016204829039053638
Two Means (A/B),366.32454844040456,0.6227592086384282,0.050000000000000044,0.85,16962,16963.0,1.0,5.8951836349702294e-05
Two Means (A/B),412.2450498563464,2.771225129269322,0.010000000000000009,0.8,1254,1256.0,2.0,0.0015923566878980893
Two Means (A/B),336.42079297211933,1.57509738787751,0.09999999999999998,0.95,2936,2936.0,0.0,0.0
Two Means (A/B),403.2036397001604,7.106041253935066,0.010000000000000009,0.95,285,287.0,2.0,0.006968641114982578
Two Means (A/B),282.77107539872424,4.457970079759357,0.050000000000000044,0.9,300,300.0,0.0,0.0
Two Means (A/B),380.9775229193919,2.4349902315225025,0.010000000000000009,0.95,2290,2291.0,1.0,0.00043649061545176777
Two Means (A/B),78.1440021038158,8.033532466613238,0.010000000000000009,0.9,37,38.0,1.0,0.02631578947368421
Two Means (A/B),380.1271235190406,3.064490753869678,0.09999999999999998,0.8,501,502.0,1.0,0.00199203187250996
Two Means (A/B),336.8989690116034,5.012047202720873,0.010000000000000009,0.9,400,401.0,1.0,0.0024937655860349127
Two Means (A/B),358.6600719724387,9.912151675030907,0.010000000000000009,0.9,109,111.0,2.0,0.018018018018018018
Two Means (A/B),307.34252205223396,5.9189166725357625,0.09999999999999998,0.95,190,191.0,1.0,0.005235602094240838
Two Means (A/B),213.00594874352979,3.4116617585451285,0.09999999999999998,0.9,314,315.0,1.0,0.0031746031746031746
Two Means (A/B),60.88629375110986,8.333800732390158,0.09999999999999998,0.85,13,14.0,1.0,0.07142857142857142
Two Means (A/B),283.13544480746697,3.057383178528853,0.09999999999999998,0.9,519,520.0,1.0,0.0019230769230769232
Two Means (A/B),166.68354148959818,4.353602446115458,0.010000000000000009,0.8,206,208.0,2.0,0.009615384615384616
Two Means (A/B),428.8701050563139,1.9424040366781454,0.09999999999999998,0.8,1406,1407.0,1.0,0.0007107320540156361
Two Means (A/B),256.1840990320517,4.881391833645017,0.050000000000000044,0.85,194,195.0,1.0,0.005128205128205128
Two Means (A/B),86.2706811907061,7.306599139040276,0.050000000000000044,0.9,34,35.0,1.0,0.02857142857142857
